Theta1,Theta2,Theta3,U,V,R,X,Y,Z
10,130,60,62,110,11,178.6,77.5,221.2
10,130,65,54,110,13,177.3,71.7,262.6
10,130,70,,,,,,
10,130,75,48,106,12,181.3,82.7,243.6
10,135,50,74,118,13,171.2,56.3,262.6
10,135,55,68,110,12,177.9,66.0,243.6
10,135,60,58,104,14,181.1,63.7,278.8
10,135,65,54,98,11,189.5,84.8,221.2
10,135,70,,,,,,
10,135,75,48,96,18,183.1,55.1,325.8
10,140,50,,,,,,
10,140,55,64,102,11,185.9,75.7,221.2
10,140,60,56,96,16,184.7,57.0,305.2
10,140,65,52,90,11,196.8,86.6,221.2
10,140,70,48,92,15,188.3,66.2,292.9
10,140,75,,,,,,
10,145,50,66,100,11,187.7,73.9,221.2
10,145,55,56,90,12,194.6,76.0,243.6
10,145,60,52,90,15,189.7,63.5,292.9
10,145,65,,,,,,
10,145,70,96,226,14,94.0,36.6,278.8
10,145,75,40,82,12,201.2,89.4,243.6
10,150,50,68,94,11,193.2,72.0,221.2
10,150,55,,,,,,
10,150,60,62,216,17,113.3,50.1,316.1
10,150,65,48,80,16,194.7,62.0,305.2
10,150,70,,,,,,
10,150,75,,,,,,
10,155,50,,,,,,
10,155,55,94,208,19,123.4,28.0,334.4
10,155,60,98,204,19,125.5,25.9,334.4
10,155,65,52,78,11,207.7,86.6,221.2
10,155,70,98,204,17,120.3,29.0,316.1
10,155,75,36,68,14,206.8,79.5,278.8
15,90,50,124,202,11,95.0,21.1,221.2
15,90,55,86,130,11,160.5,55.7,221.2
15,90,60,82,126,12,164.6,54.4,243.6
15,90,65,80,124,14,166.8,48.0,278.8
15,90,70,72,124,13,166.5,57.9,262.6
15,90,75,,,,,,
15,95,50,124,192,10,97.5,23.2,194.4
15,95,55,82,122,11,167.7,59.3,221.2
15,95,60,78,120,12,169.6,57.7,243.6
15,95,65,72,116,11,173.2,68.4,221.2
15,95,70,112,188,12,112.9,29.4,243.6
15,95,75,110,192,17,127.4,21.9,316.1
15,100,50,90,124,11,165.9,52.0,221.2
15,100,55,116,184,15,127.0,20.8,292.9
15,100,60,74,106,11,182.3,66.6,221.2
15,100,65,68,108,12,179.6,66.0,243.6
15,100,70,102,178,15,131.0,30.2,292.9
15,100,75,98,184,13,120.4,37.9,262.6
15,105,50,116,176,11,118.7,28.4,221.2
15,105,55,72,100,11,187.7,68.4,221.2
15,105,60,98,166,13,134.3,37.9,262.6
15,105,65,62,92,12,192.9,71.0,243.6
15,105,70,92,164,14,138.2,39.5,278.8
15,105,75,90,160,12,136.3,47.7,243.6
15,110,50,112,166,11,127.8,32.0,221.2
15,110,55,96,156,12,139.6,42.7,243.6
15,110,60,64,88,11,198.6,75.7,221.2
15,110,65,92,152,16,149.7,34.5,305.2
15,110,70,86,146,13,149.6,47.1,262.6
15,110,75,84,146,11,145.9,57.5,221.2
15,115,50,100,148,11,144.1,43.0,221.2
15,115,55,100,150,12,144.6,39.4,243.6
15,115,60,90,138,10,151.5,57.2,194.4
15,115,65,,,,,,
15,115,70,80,136,14,158.2,48.0,278.8
15,115,75,74,140,11,151.4,66.6,221.2
15,120,50,102,144,11,147.7,41.1,221.2
15,120,55,92,130,17,163.8,32.5,316.1
15,120,60,82,128,10,161.5,65.2,194.4
15,120,65,78,126,10,163.5,69.2,194.4
15,120,70,78,122,11,167.7,63.0,221.2
15,120,75,72,126,14,165.4,53.8,278.8
15,125,50,98,134,10,155.5,49.2,194.4
15,125,55,82,120,13,169.6,50.2,262.6
15,125,60,,,,,,
15,125,65,76,120,15,169.7,47.5,292.9
15,125,70,,,,,,
15,125,75,,,,,,
15,130,50,88,118,11,171.4,53.9,221.2
15,130,55,80,106,11,182.3,61.1,221.2
15,130,60,,,,,,
15,130,65,,,,,,
15,130,70,66,96,11,191.4,73.9,221.2
15,130,75,,,,,,
15,135,50,90,112,11,176.8,52.0,221.2
15,135,55,80,104,17,179.1,39.6,316.1
15,135,60,,,,,,
15,135,65,,,,,,
15,135,70,76,102,10,187.5,71.2,194.4
15,135,75,,,,,,
15,140,50,84,100,10,189.5,63.2,194.4
15,140,55,74,90,11,196.8,66.6,221.2
15,140,60,72,84,10,205.5,75.2,194.4
15,140,65,,,,,,
15,140,70,,,,,,
15,140,75,,,,,,
15,145,50,84,94,11,193.2,57.5,221.2
15,145,55,72,84,13,197.3,57.9,262.6
15,145,60,74,76,19,192.9,38.6,334.4
15,145,65,62,76,14,201.1,60.9,278.8
15,145,70,62,74,14,202.5,60.9,278.8
15,145,75,,,,,,
15,150,50,102,204,14,109.7,32.3,278.8
15,150,55,74,80,11,205.9,66.6,221.2
15,150,60,104,212,16,112.2,27.0,305.2
15,150,65,64,70,13,208.1,64.0,262.6
15,150,70,58,66,12,214.6,74.4,243.6
15,150,75,54,62,11,222.3,84.8,221.2
15,155,50,102,200,18,125.3,25.1,325.8
15,155,55,,,,,,
15,155,60,68,68,12,212.9,66.0,243.6
15,155,65,104,200,16,119.7,27.0,305.2
15,155,70,102,202,13,106.6,34.8,262.6
15,155,75,54,56,12,222.9,77.7,243.6
20,90,50,,,,,,
20,90,55,100,124,11,165.9,43.0,221.2
20,90,60,96,120,11,169.6,46.6,221.2
20,90,65,90,116,12,172.9,47.7,243.6
20,90,70,122,200,16,119.7,15.8,305.2
20,90,75,,,,,,
20,95,50,130,192,12,109.6,14.4,243.6
20,95,55,96,116,12,172.9,42.7,243.6
20,95,60,90,114,11,175.0,52.0,221.2
20,95,65,122,186,13,118.9,19.4,262.6
20,95,70,,,,,,
20,95,75,114,194,16,123.5,20.8,305.2
20,100,50,132,190,11,105.9,13.9,221.2
20,100,55,120,176,12,122.9,22.7,243.6
20,100,60,88,104,10,185.5,59.2,194.4
20,100,65,112,174,13,128.1,27.1,262.6
20,100,70,114,178,16,133.5,20.8,305.2
