Theta1,Theta2,Theta3,U,V,R,X,Y,Z
75,95,50,,,,,,
75,95,55,226,120,11,169.6,-71.6,221.2
75,95,60,230,118,12,171.3,-69.0,243.6
75,95,65,236,116,12,172.9,-74.0,243.6
75,95,70,238,114,13,174.2,-69.8,262.6
75,95,75,246,108,11,180.5,-89.8,221.2
75,100,50,,,,,,
75,100,55,,,,,,
75,100,60,236,108,11,180.5,-80.7,221.2
75,100,65,240,104,12,182.9,-77.3,243.6
75,100,70,244,102,11,185.9,-88.0,221.2
75,100,75,,,,,,
75,105,50,216,182,10,107.5,-68.8,194.4
75,105,55,240,100,11,187.7,-84.3,221.2
75,105,60,242,96,11,191.4,-86.1,221.2
75,105,65,248,92,12,192.9,-84.0,243.6
75,105,70,252,88,13,194.2,-80.6,262.6
75,105,75,256,84,13,197.3,-83.7,262.6
75,110,50,220,168,11,125.9,-66.1,221.2
75,110,55,244,88,11,198.6,-88.0,221.2
75,110,60,248,84,12,199.6,-84.0,243.6
75,110,65,252,78,13,201.9,-80.6,262.6
75,110,70,258,74,13,205.0,-85.2,262.6
75,110,75,262,70,14,205.4,-82.0,278.8
75,115,50,234,96,11,191.4,-78.9,221.2
75,115,55,244,80,11,205.9,-88.0,221.2
75,115,60,252,74,12,207.9,-87.3,243.6
75,115,65,256,70,12,211.2,-90.6,243.6
75,115,70,260,64,14,209.6,-80.5,278.8
75,115,75,268,60,13,215.8,-92.9,262.6
75,120,50,240,84,11,202.3,-84.3,221.2
75,120,55,250,68,12,212.9,-85.6,243.6
75,120,60,256,64,11,220.4,-98.9,221.2
75,120,65,262,58,12,221.2,-95.6,243.6
75,120,70,266,52,13,221.9,-91.3,262.6
75,120,75,272,46,14,222.5,-89.1,278.8
75,125,50,,,,,,
75,125,55,254,58,11,225.9,-97.0,221.2
75,125,60,260,52,12,226.2,-94.0,243.6
75,125,65,266,48,12,229.6,-99.0,243.6
75,125,70,270,42,13,229.6,-94.4,262.6
75,125,75,274,36,14,229.6,-90.5,278.8
75,130,50,240,126,12,164.6,-77.3,243.6
75,130,55,,,,,,
75,130,60,,,,,,
75,130,65,,,,,,
75,130,70,,,,,,
75,130,75,278,28,12,246.2,-109.0,243.6
75,135,50,,,,,,
75,135,55,,,,,,
75,135,60,254,102,13,183.5,-82.1,262.6
75,135,65,168,230,10,59.6,-20.8,194.4
75,135,70,,,,,,
75,135,75,,,,,,
75,140,50,192,228,17,106.2,-26.3,316.1
75,140,55,204,216,16,109.7,-35.5,305.2
75,140,60,178,212,11,85.9,-28.0,221.2
75,140,65,206,214,18,117.5,-32.6,325.8
75,140,70,204,216,17,113.3,-33.4,316.1
75,140,75,,,,,,
75,145,50,250,92,11,195.0,-93.4,221.2
75,145,55,218,208,12,96.3,-59.0,243.6
75,145,60,206,204,11,93.2,-53.4,221.2
75,145,65,214,208,14,106.8,-47.7,278.8
75,145,70,234,220,12,86.3,-72.3,243.6
75,145,75,,,,,,
75,150,50,228,194,16,123.5,-50.5,305.2
75,150,55,212,186,16,128.5,-40.5,305.2
75,150,60,216,196,12,106.3,-57.3,243.6
75,150,65,216,198,11,98.7,-62.5,221.2
75,150,70,,,,,,
75,150,75,,,,,,
75,155,50,,,,,,
75,155,55,242,192,12,109.6,-79.0,243.6
75,155,60,238,188,14,121.1,-64.8,278.8
75,155,65,194,216,17,113.3,-27.5,316.1
75,155,70,268,66,13,211.1,-92.9,262.6
75,155,75,194,222,13,91.2,-36.0,262.6
80,90,50,,,,,,
80,90,55,232,138,11,153.2,-77.0,221.2
80,90,60,236,136,11,155.0,-80.7,221.2
80,90,65,240,132,12,159.6,-77.3,243.6
80,90,70,246,132,13,160.4,-76.0,262.6
80,90,75,224,222,13,91.2,-59.0,262.6
80,95,50,226,138,11,153.2,-71.6,221.2
80,95,55,236,126,11,164.1,-80.7,221.2
80,95,60,244,124,12,166.3,-80.6,243.6
80,95,65,,,,,,
80,95,70,,,,,,
80,95,75,,,,,,
80,100,50,230,128,11,162.3,-75.2,221.2
80,100,55,244,116,12,172.9,-80.6,243.6
80,100,60,,,,,,
80,100,65,,,,,,
80,100,70,234,192,13,114.3,-66.7,262.6
80,100,75,242,194,14,116.8,-67.7,278.8
80,105,50,238,118,11,171.4,-82.5,221.2
80,105,55,250,104,11,184.1,-93.4,221.2
80,105,60,256,102,12,184.6,-90.6,243.6
80,105,65,240,178,12,121.3,-77.3,243.6
80,105,70,,,,,,
80,105,75,252,182,14,125.4,-74.8,278.8
80,110,50,244,108,11,180.5,-88.0,221.2
80,110,55,256,96,11,191.4,-98.9,221.2
80,110,60,262,90,12,194.6,-95.6,243.6
80,110,65,268,86,12,197.9,-100.6,243.6
80,110,70,272,80,14,198.2,-89.1,278.8
80,110,75,258,166,13,134.3,-85.2,262.6
80,115,50,248,100,11,187.7,-91.6,221.2
80,115,55,260,84,12,199.6,-94.0,243.6
80,115,60,268,80,12,202.9,-100.6,243.6
80,115,65,272,76,13,203.5,-96.0,262.6
80,115,70,,,,,,
80,115,75,264,154,14,145.4,-83.4,278.8
80,120,50,242,152,12,142.9,-79.0,243.6
80,120,55,254,144,13,151.2,-82.1,262.6
80,120,60,272,70,11,215.0,-113.4,221.2
80,120,65,276,64,10,225.5,-128.8,194.4
80,120,70,284,60,13,215.8,-105.2,262.6
80,120,75,,,,,,
80,125,50,,,,,,
80,125,55,270,64,11,220.4,-111.6,221.2
80,125,60,276,62,10,227.5,-128.8,194.4
80,125,65,,,,,,
80,125,70,290,52,15,215.0,-95.2,292.9
80,125,75,294,46,13,226.5,-112.9,262.6
80,130,50,,,,,,
80,130,55,,,,,,
80,130,60,,,,,,
80,130,65,,,,,,
80,130,70,,,,,,
80,130,75,298,36,13,234.2,-116.0,262.6
80,135,50,254,124,12,166.3,-89.0,243.6
80,135,55,266,114,14,173.9,-84.8,278.8
80,135,60,,,,,,
80,135,65,288,40,11,242.3,-128.0,221.2
80,135,70,292,34,11,247.7,-131.6,221.2
80,135,75,300,28,12,246.2,-127.3,243.6
80,140,50,266,58,10,231.5,-118.8,194.4
80,140,55,214,218,14,99.7,-47.7,278.8
80,140,60,212,218,14,99.7,-46.2,278.8
80,140,65,290,30,12,244.6,-119.0,243.6
80,140,70,296,26,10,263.5,-148.8,194.4
80,140,75,302,20,12,252.9,-129.0,243.6
80,145,50,232,216,13,95.8,-65.2,262.6
80,145,55,216,206,14,108.2,-49.1,278.8
80,145,60,216,206,15,112.4,-45.8,292.9
80,145,65,214,208,11,89.6,-60.7,221.2
80,145,70,214,208,10,81.5,-66.8,194.4
80,145,75,,,,,,
80,150,50,,,,,,
80,150,55,272,90,11,196.8,-113.4,221.2
80,150,60,274,86,12,197.9,-105.6,243.6
80,150,65,226,202,14,111.1,-56.2,278.8
80,150,70,284,80,13,200.4,-105.2,262.6
80,150,75,,,,,,
80,155,50,,,,,,
80,155,55,272,82,12,201.2,-104.0,243.6
80,155,60,242,200,17,122.7,-55.7,316.1
80,155,65,248,200,12,102.9,-84.0,243.6
80,155,70,200,216,19,119.2,-27.8,334.4
80,155,75,,,,,,
85,90,50,230,152,11,140.5,-75.2,221.2
85,90,55,244,144,10,145.5,-96.8,194.4
85,90,60,248,140,12,152.9,-84.0,243.6
85,90,65,254,140,13,154.2,-82.1,262.6
85,90,70,,,,,,
85,90,75,230,226,12,81.3,-69.0,243.6
85,95,50,236,140,11,151.4,-80.7,221.2
85,95,55,250,132,11,158.6,-93.4,221.2
85,95,60,256,128,11,162.3,-98.9,221.2
85,95,65,236,210,13,100.4,-68.3,262.6
85,95,70,,,,,,
85,95,75,242,218,16,108.5,-59.2,305.2
85,100,50,,,,,,
85,100,55,256,122,12,167.9,-90.6,243.6
85,100,60,258,120,11,169.6,-100.7,221.2
85,100,65,,,,,,
85,100,70,,,,,,
85,100,75,250,202,12,101.3,-85.6,243.6
85,105,50,248,126,11,164.1,-91.6,221.2
85,105,55,264,112,11,176.8,-106.1,221.2
85,105,60,,,,,,
85,105,65,,,,,,
85,105,70,,,,,,
85,105,75,262,192,14,118.2,-82.0,278.8
85,110,50,254,114,11,175.0,-97.0,221.2
85,110,55,272,104,10,185.5,-124.8,194.4
85,110,60,276,100,12,186.3,-107.3,243.6
85,110,65,260,174,13,128.1,-86.7,262.6
85,110,70,,,,,,
85,110,75,268,172,12,126.3,-100.6,243.6
85,115,50,246,170,11,124.1,-89.8,221.2
85,115,55,278,94,11,193.2,-118.9,221.2
85,115,60,280,88,11,198.6,-120.7,221.2
85,115,65,288,84,12,199.6,-117.3,243.6
85,115,70,298,82,11,204.1,-137.0,221.2
85,115,75,,,,,,
85,120,50,268,96,10,193.5,-120.8,194.4
85,120,55,280,84,11,202.3,-120.7,221.2
85,120,60,288,80,11,205.9,-128.0,221.2
85,120,65,296,76,13,203.5,-114.4,262.6
85,120,70,302,70,13,208.1,-119.0,262.6
85,120,75,310,62,17,203.8,-95.7,316.1
85,125,50,,,,,,
85,125,55,284,74,11,211.4,-124.3,221.2
85,125,60,,,,,,
85,125,65,,,,,,
85,125,70,,,,,,
85,125,75,276,172,10,117.5,-128.8,194.4
85,130,50,274,82,11,204.1,-115.2,221.2
85,130,55,288,66,11,218.6,-128.0,221.2
85,130,60,298,62,12,217.9,-125.6,243.6
85,130,65,304,56,12,222.9,-130.6,243.6
85,130,70,,,,,,
85,130,75,316,46,12,231.2,-140.6,243.6
85,135,50,278,74,11,211.4,-118.9,221.2
85,135,55,292,60,12,219.6,-120.6,243.6
85,135,60,284,120,12,169.6,-114.0,243.6
85,135,65,306,48,12,229.6,-132.3,243.6
85,135,70,,,,,,
85,135,75,320,40,14,226.8,-123.4,278.8
85,140,50,,,,,,
85,140,55,,,,,,
85,140,60,218,226,12,81.3,-59.0,243.6
85,140,65,220,224,15,100.4,-48.5,292.9
85,140,70,298,110,17,175.6,-88.7,316.1
85,140,75,,,,,,
85,145,50,,,,,,
85,145,55,298,46,11,236.8,-137.0,221.2
85,145,60,302,42,11,240.4,-140.7,221.2
85,145,65,232,220,12,86.3,-70.6,243.6
85,145,70,,,,,,
85,145,75,202,220,14,98.2,-39.1,278.8
85,150,50,,,,,,
85,150,55,284,96,11,191.4,-124.3,221.2
85,150,60,252,216,13,95.8,-80.6,262.6
85,150,65,250,214,17,114.4,-60.4,316.1
85,150,70,314,26,10,263.5,-166.8,194.4
85,150,75,,,,,,
85,155,50,218,202,14,111.1,-50.5,278.8
85,155,55,286,94,12,191.3,-115.6,243.6
85,155,60,288,88,12,196.2,-117.3,243.6
85,155,65,308,28,11,253.2,-146.1,221.2
85,155,70,302,86,14,193.9,-110.5,278.8
85,155,75,304,86,17,189.7,-92.2,316.1
